name,path,size,file_or_dir
1c,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,142,directory
1f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,162,directory
22,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,190,directory
24,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,513,directory
26,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,63,directory
27,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,1130,directory
28,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,413,directory
29,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,562,directory
2f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,989,directory
32,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,140,directory
33,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,154,directory
35,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,140,directory
37,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,445,directory
39,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,233,directory
3a,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,298,directory
40,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,110,directory
41,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,869,directory
44,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,96,directory
46,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,259,directory
48,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,697,directory
4e,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,1218,directory
4f,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,259,directory
51,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,358,directory
53,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,179,directory
54,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,339,directory
56,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,115,directory
57,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,566,directory
59,/Users/Татьяна/OneDrive/Рабочий стол/Python/Python-Basic\.git\objects,315,directory
